match_id,date,team_1,team_2,winner,result,venue,city,toss_winner,toss_decision,by_runs,by_wickets
1384584,2023-07-11,Malta,Luxembourg,Malta,,Marsa Sports Club,Marsa,Luxembourg,field,42.0,
1384585,2023-07-11,France,Luxembourg,France,,Marsa Sports Club,Marsa,France,bat,51.0,
1384586,2023-07-12,Malta,Luxembourg,Luxembourg,,Marsa Sports Club,Marsa,Malta,bat,,4.0
1384587,2023-07-12,Luxembourg,France,France,,Marsa Sports Club,Marsa,Luxembourg,bat,,9.0
1384588,2023-07-12,France,Malta,France,,Marsa Sports Club,Marsa,France,bat,30.0,
1384589,2023-07-13,Luxembourg,Malta,Malta,,Marsa Sports Club,Marsa,Malta,field,,6.0
1384595,2023-07-15,Romania,Luxembourg,Luxembourg,,Marsa Sports Club,Marsa,Romania,bat,,7.0
1384597,2023-07-15,France,Luxembourg,Luxembourg,,Marsa Sports Club,Marsa,France,bat,,4.0
1384598,2023-07-16,France,Malta,Malta,,Marsa Sports Club,Marsa,France,bat,,7.0
1384599,2023-07-16,Luxembourg,Romania,Romania,,Marsa Sports Club,Marsa,Romania,field,,7.0
1383068,2023-07-20,Austria,Jersey,Jersey,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Jersey,field,,8.0
1383069,2023-07-20,Ireland,Italy,Ireland,,"Goldenacre, Edinburgh",Edinburgh,Italy,field,7.0,
1383070,2023-07-20,Scotland,Germany,Scotland,,"Goldenacre, Edinburgh",Edinburgh,Germany,field,72.0,
1383071,2023-07-21,Denmark,Ireland,Ireland,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Denmark,bat,,9.0
1383072,2023-07-21,Austria,Germany,Germany,,"Goldenacre, Edinburgh",Edinburgh,Austria,bat,,9.0
1383073,2023-07-21,Scotland,Jersey,Scotland,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Jersey,field,14.0,
1383074,2023-07-23,Ireland,Austria,Ireland,,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Austria,field,128.0,
1383075,2023-07-23,Italy,Jersey,Italy,,"Goldenacre, Edinburgh",Edinburgh,Jersey,field,25.0,
1383089,2023-07-22,Japan,Philippines,Japan,,"Amini Park, Port Moresby",Port Moresby,Japan,bat,53.0,
