match_id,date,team_1,team_2,elo_team_1,elo_team_2,elo_diff
1470191,2025-02-05,Austria,Hungary,1554.1234147574862,1472.1896687304188,81.9337460270674
1471822,2025-02-19,Bahrain,Indonesia,1510.8489609462638,1467.6130596254825,43.235901320781295
1471823,2025-02-20,Indonesia,Bahrain,1458.851104680969,1519.6109158907773,-60.75981120980828
1473145,2025-02-20,Oman,United States of America,1508.294802330186,1520.0614314442623,-11.766629114076295
1473146,2025-02-21,Oman,United States of America,1498.633343716686,1529.7228900577622,-31.08954634107613
1471824,2025-02-22,Bahrain,Indonesia,1527.8797206179013,1450.582299953845,77.29742066405629
1467705,2025-02-23,Ireland,Zimbabwe,1503.7217640248439,1549.5649118713845,-45.84314784654066
1471825,2025-02-23,Bahrain,Indonesia,1515.690916689171,1462.7711038825753,52.9198128065957
1473147,2025-02-23,Oman,United States of America,1489.5257920603049,1538.8304417141435,-49.304649653838624
1471826,2025-02-24,Indonesia,Bahrain,1454.282587763432,1524.1794328083142,-69.89684504488218
1474260,2025-02-28,Bahrain,Singapore,1532.194348747539,1425.1000061214102,107.09434262612876
1474261,2025-03-01,Singapore,Bahrain,1418.0883781681941,1539.205976700755,-121.1175985325608
1474262,2025-03-02,Singapore,Bahrain,1411.4397515382966,1545.8546033306525,-134.41485179235588
1475525,2025-03-10,Malaysia,Bahrain,1529.0962239271682,1552.167954977405,-23.07173105023685
1475526,2025-03-11,Hong Kong,Bahrain,1525.5290657966368,1561.50487156358,-35.97580576694327
1475527,2025-03-12,Hong Kong,Malaysia,1516.5608477951346,1519.7593073409932,-3.198459545858668
1475528,2025-03-13,Bahrain,Malaysia,1570.4730895650823,1509.6672508756487,60.805838689433585
1475530,2025-03-15,Malaysia,Hong Kong,1501.3997311923326,1526.652904260479,-25.253173068146452
1443549,2025-03-16,Pakistan,New Zealand,1561.0021797292213,1621.2271861913316,-60.22500646211029
1475531,2025-03-17,Hong Kong,Bahrain,1535.9273367947258,1578.7406092483984,-42.81327245367265
1443550,2025-03-18,Pakistan,New Zealand,1552.7184394473074,1629.5109264732455,-76.79248702593804
1476795,2025-03-19,Canada,Namibia,1536.8658834954024,1521.8589395724932,15.006943922909159
1443551,2025-03-21,New Zealand,Pakistan,1637.3359638324139,1544.893402088139,92.44256174427483
1476797,2025-03-22,Canada,Namibia,1526.4342173444547,1532.2906057234409,-5.856388378986139
1476798,2025-03-23,Canada,Namibia,1516.6027617893842,1542.1220612785114,-25.519299489127206
1443552,2025-03-23,New Zealand,Pakistan,1624.7363118642122,1557.4930540563407,67.24325780787149
1443553,2025-03-26,Pakistan,New Zealand,1549.4046614211418,1632.8247044994112,-83.42004307826937
1478228,2025-04-07,Norway,Portugal,1515.987270421447,1549.555958061463,-33.56868764001592
1478229,2025-04-08,Norway,Portugal,1526.9504596181487,1538.5927688647612,-11.642309246612513
1479321,2025-04-09,Hong Kong,Kuwait,1527.1534022634075,1568.7853508427575,-41.63194857934991
1479320,2025-04-09,Qatar,Nepal,1521.4153353266763,1570.837476478064,-49.42214115138768
1478230,2025-04-09,Portugal,Norway,1548.2578016338246,1517.2854268490853,30.97237478473926
1479322,2025-04-10,Kuwait,Nepal,1577.5927893273172,1579.4245103440655,-1.8317210167483609
1479323,2025-04-10,Hong Kong,Qatar,1518.3459637788478,1512.8283014606748,5.517662318173052
1479324,2025-04-12,Qatar,Kuwait,1502.987099198319,1567.6455100077033,-64.65841080938435
1479326,2025-04-13,Hong Kong,Qatar,1528.1871660412037,1494.826926604271,33.360239436932716
1479327,2025-04-13,Kuwait,Nepal,1575.8056826017512,1589.3717896636795,-13.566107061928278
1481295,2025-04-17,Mexico,Costa Rica,1463.1233226102781,1481.9682282748654,-18.84490566458726
1481296,2025-04-17,Panama,Turks and Caicos Island,1410.1548341723142,1500.0,-89.84516582768583
1481297,2025-04-18,Costa Rica,Panama,1471.4263595733948,1422.684645002969,48.741714570425756
1481298,2025-04-18,Turks and Caicos Island,Mexico,1487.470189169345,1473.6651913117487,13.80499785759639
1481304,2025-04-19,Bermuda,Canada,1613.5760804864024,1507.3359482398048,106.24013224659757
1481303,2025-04-19,United States of America,Cayman Islands,1547.4207899012374,1496.9276693438503,50.4931205573871
1481300,2025-04-19,Panama,Mexico,1434.078412591983,1484.0623221169408,-49.98390952495788
1481299,2025-04-19,Costa Rica,Turks and Caicos Island,1460.032591984381,1477.073058364153,-17.040466379771942
1481301,2025-04-20,Turks and Caicos Island,Costa Rica,1486.5829872163729,1450.5226631321611,36.06032408421174
1481305,2025-04-20,United States of America,Bahamas,1555.9776271680253,1498.1874113264137,57.7902158416116
1481306,2025-04-20,Bermuda,Cayman Islands,1600.610115374855,1488.3708320770625,112.23928329779255
1481307,2025-04-21,Bahamas,Canada,1489.8355755584405,1520.3019133513521,-30.466337792911645
1481308,2025-04-21,Bermuda,United States of America,1607.4874883435975,1564.3294629359984,43.1580254075991
1481309,2025-04-23,Canada,Cayman Islands,1529.4272623567756,1481.49345910832,47.93380324845566
1481310,2025-04-23,Bahamas,Bermuda,1480.710226553017,1596.2516504423493,-115.54142388933224
1481311,2025-04-24,Cayman Islands,Bahamas,1472.864417509726,1473.9183729706708,-1.053955460944735
1481312,2025-04-24,Canada,United States of America,1538.0563039553695,1575.5653008372467,-37.50899688187724
1482088,2025-04-24,Saudi Arabia,Thailand,1531.2934574955161,1500.8691803741365,30.424277121379646
1482089,2025-04-24,Malaysia,Singapore,1492.125298658086,1405.126399891544,86.99889876654197
1482090,2025-04-25,Thailand,Malaysia,1491.7426300138477,1499.6723245311873,-7.9296945173396125
1482091,2025-04-25,Saudi Arabia,Singapore,1540.4200078558051,1397.5793740184426,142.84063383736247
1481314,2025-04-26,Bermuda,United States of America,1603.0435040246955,1564.4898799874122,38.55362403728327
1481313,2025-04-26,Cayman Islands,Canada,1482.8947526933382,1549.131724805204,-66.23697211186573
1482093,2025-04-26,Singapore,Thailand,1391.4736776764262,1481.9708253468439,-90.49714767041769
1482092,2025-04-26,Saudi Arabia,Malaysia,1546.5257041978216,1509.4441291981911,37.08157499963045
1481315,2025-04-27,Canada,United States of America,1557.2480376645274,1575.5950101964045,-18.3469725318771
1482094,2025-04-28,Saudi Arabia,Thailand,1535.4624448629788,1469.4234583096154,66.03898655336343
1482096,2025-04-29,Malaysia,Thailand,1520.507388533034,1461.3016485763542,59.205739956679736
1482097,2025-04-29,Singapore,Saudi Arabia,1404.0210447136546,1543.58425459624,-139.5632098825854
1482098,2025-04-30,Malaysia,Saudi Arabia,1528.8196157938055,1549.770269464667,-20.950653670861584
1482100,2025-05-02,Singapore,Thailand,1397.8350298452276,1452.9894213155826,-55.154391470354994
1482101,2025-05-02,Malaysia,Saudi Arabia,1519.4218942564676,1559.167991002005,-39.74609674553744
